"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097386","CC","GO:0097386","glial cell projection","12/1279","38/19518",3.2646068492861e-06,6.95954823779627e-05,5.42018457752285e-05,"MAPT/GFAP/SLC1A2/CRB1/KCNK2/AQP4/SCN7A/GRM3/SLC17A8/SLC1A1/SYT4/MT3",12
"GO:0070382","CC","GO:0070382","exocytic vesicle","34/1279","225/19518",4.3380962442767e-06,8.84594408072075e-05,6.88933362363394e-05,"ATP6V1B1/GRIA1/PRRT2/BDNF/PRRT1/SYTL4/SNAP25/SYN1/SYT1/DOC2A/TRIM9/SYN2/NTF4/SV2A/SYP/SYT9/NTF3/BSN/SV2B/SNAP91/CTTNBP2/SYT8/GRIN2A/SLC18A1/PTPRN2/RAB3C/DRD2/SLC17A8/SYT4/UNC13A/KIRREL3/OPRK1/MT3/SYT10",34
"GO:0043195","CC","GO:0043195","terminal bouton","13/1279","47/19518",6.66791827973193e-06,0.000129027577420843,0.000100488316384317,"KCNC2/NTRK2/PRSS12/CPLX1/GRIK3/SYP/SLC18A1/GHRH/CPLX2/NPY/UNC13A/CALCA/CALB1",13
"GO:0008021","CC","GO:0008021","synaptic vesicle","32/1279","210/19518",6.87780263437327e-06,0.000129027577420843,0.000100488316384317,"ATP6V1B1/GRIA1/PRRT2/BDNF/PRRT1/SNAP25/SYN1/SYT1/DOC2A/TRIM9/SYN2/NTF4/SV2A/SYP/SYT9/NTF3/BSN/SV2B/SNAP91/CTTNBP2/SYT8/GRIN2A/SLC18A1/PTPRN2/RAB3C/DRD2/SLC17A8/SYT4/UNC13A/KIRREL3/OPRK1/MT3",32
"GO:0042383","CC","GO:0042383","sarcolemma","24/1279","136/19518",7.80792406356965e-06,0.00014084293791593,0.000109690269233145,"IGF1R/NOS1AP/CACNB2/KCNJ3/SYNM/SLC27A6/PGM5/ATP1A2/RYR3/SCN2B/SGCG/FXYD1/CASQ1/ALOX12/DES/SCN5A/AQP4/KCND3/STAC/MYOT/POPDC3/ADRA1A/TRIM72/CACNG6",24
"GO:0032809","CC","GO:0032809","neuronal cell body membrane","10/1279","29/19518",8.93463912366568e-06,0.000151667533797136,0.000118120602014603,"KCNC2/CADM2/HPCA/CX3CR1/KCNC1/KCNB2/GABRA5/ATP2B2/ADCY8/SLC6A2",10
"GO:0098685","CC","GO:0098685","Schaffer collateral - CA1 synapse","19/1279","94/19518",9.16400423430636e-06,0.000151667533797136,0.000118120602014603,"ADCY1/CPLX1/PLAT/SYN1/NEFH/PTN/NEFL/SYN2/TUBB2B/SYP/PCDH8/BSN/GSG1L/ADCY8/ADRB1/EPHA7/SLC1A1/GABRB1/NTNG1",19
"GO:0008076","CC","GO:0008076","voltage-gated potassium channel complex","17/1279","78/19518",9.37816307061182e-06,0.000151667533797136,0.000118120602014603,"KCNC2/KCNF1/KCNJ16/KCNJ3/KCNQ3/KCNIP2/KCNQ5/KCNC1/KCNK2/KCND3/KCNE1/KCNIP1/KCNB2/KCNH1/HCN1/DPP6/KCNA4",17
"GO:0044304","CC","GO:0044304","main axon","15/1279","64/19518",1.22955806999312e-05,0.000191930231086467,0.000149477702136694,"MAG/KCNC2/MAPT/SPTBN4/KCNQ3/SLC1A2/MAP2/KCNC1/MYOC/KCNH1/HAPLN2/CNTN2/ROBO2/LGI1/KCNA4",15
"GO:0034706","CC","GO:0034706","sodium channel complex","8/1279","19/19518",1.30954528673069e-05,0.000191930231086467,0.000149477702136694,"SCN4B/GRIK1/GRIK3/SCNN1G/SCN2B/SCNN1D/SCN5A/GRIK4",8
"GO:0097449","CC","GO:0097449","astrocyte projection","8/1279","19/19518",1.30954528673069e-05,0.000191930231086467,0.000149477702136694,"GFAP/SLC1A2/KCNK2/AQP4/GRM3/SLC17A8/SYT4/MT3",8
"GO:0030672","CC","GO:0030672","synaptic vesicle membrane","22/1279","125/19518",1.92285968259265e-05,0.000265241526804692,0.000206573470544783,"ATP6V1B1/GRIA1/PRRT2/PRRT1/SYN1/SYT1/DOC2A/SYN2/SV2A/SYP/SYT9/BSN/SV2B/SYT8/SLC18A1/PTPRN2/RAB3C/DRD2/SLC17A8/SYT4/UNC13A/OPRK1",22
"GO:0099501","CC","GO:0099501","exocytic vesicle membrane","22/1279","125/19518",1.92285968259265e-05,0.000265241526804692,0.000206573470544783,"ATP6V1B1/GRIA1/PRRT2/PRRT1/SYN1/SYT1/DOC2A/SYN2/SV2A/SYP/SYT9/BSN/SV2B/SYT8/SLC18A1/PTPRN2/RAB3C/DRD2/SLC17A8/SYT4/UNC13A/OPRK1",22
"GO:0030315","CC","GO:0030315","T-tubule","13/1279","52/19518",2.21422313055475e-05,0.000296705899494336,0.000231078323699999,"IGF1R/NOS1AP/CACNB2/KCNJ3/ATP1A2/SCN2B/FXYD1/CASQ1/SCN5A/AQP4/STAC/ADRA1A/CACNG6",13
"GO:0044298","CC","GO:0044298","cell body membrane","10/1279","32/19518",2.40146487346209e-05,0.000312857507126033,0.000243657400903902,"KCNC2/CADM2/HPCA/CX3CR1/KCNC1/KCNB2/GABRA5/ATP2B2/ADCY8/SLC6A2",10
"GO:0032589","CC","GO:0032589","neuron projection membrane","14/1279","60/19518",2.51622662511058e-05,0.000318948726264017,0.000248401319747758,"KCNC2/MAPT/GRIA1/MPP2/HPCA/SLC1A2/KCNC1/GABRA5/ATP2B2/KCNH1/ROBO2/GABRG1/GABRA4/GABRA1",14
"GO:1902710","CC","GO:1902710","GABA receptor complex","8/1279","21/19518",3.13257327657803e-05,0.000386625491240815,0.000301108844036725,"GABRP/GABRA5/GABRR1/GABRB1/GABRG1/GABBR2/GABRA4/GABRA1",8
"GO:0034707","CC","GO:0034707","chloride channel complex","13/1279","55/19518",4.21011842045105e-05,0.000506293727997831,0.000394307987016603,"GABRP/CLIC6/GLRA3/TTYH1/GLRB/GABRA5/ANO2/GABRR1/SLC17A8/GABRB1/GABRG1/GABRA4/GABRA1",13
"GO:0150034","CC","GO:0150034","distal axon","36/1279","277/19518",6.64308072516754e-05,0.000778901215025894,0.000606618160956088,"KCNC2/NTRK2/CDHR3/MAPT/PRSS12/PCSK1/PRRT2/CPLX1/SNAP25/NEFL/NDRG2/GRIK3/GAD1/MAP2/SLC4A10/NTS/GPM6A/SYP/KCNC1/KCNK2/NGFR/CNR1/SLC18A1/NRSN1/GHRH/DRD2/CPLX2/NPY/SLC17A8/SLC1A1/UNC13A/CALCA/CALB1/OPRK1/LRRTM1/CDK5R2",36
"GO:0045177","CC","GO:0045177","apical part of cell","51/1279","446/19518",7.53125659727084e-05,0.000861502279053664,0.000670948918935297,"PDZK1/MGAM/KCNC2/PARD6B/PDZK1P1/DSG1/LRP2/KCNE4/ATP6V1B1/PLAT/GJA1/TRPM6/ZMYND10/SLC14A2/CA12/EDAR/GPIHBP1/ABCG2/SCNN1G/CRB1/SPTBN5/CLCA4/FXYD1/GJB6/SLC4A10/FRMPD2/CA2/KCNK2/HPN/FRMD1/KCNE1/S100G/CD300LG/AMN/ATP2B2/ADCY8/SLC26A9/SLC22A11/CA4/PAPPA2/P2RY4/SLC1A1/SLC6A14/SLC13A2/RHCG/CYP4F2/UMOD/UPK1B/INSC/ATP12A/MUC13",51
"GO:0001533","CC","GO:0001533","cornified envelope","13/1279","59/19518",9.19213090126164e-05,0.00100700840325245,0.000784270936883855,"DSG1/DSG3/KRT14/DSC3/KRT16/KLK6/SERPINB5/KRT17/KRT1/KLK7/KRT77/SERPINB2/SPRR2A",13
"GO:0016324","CC","GO:0016324","apical plasma membrane","45/1279","381/19518",9.23269964602464e-05,0.00100700840325245,0.000784270936883855,"PDZK1/MGAM/KCNC2/PARD6B/PDZK1P1/DSG1/LRP2/KCNE4/ATP6V1B1/GJA1/TRPM6/ZMYND10/SLC14A2/CA12/GPIHBP1/ABCG2/SCNN1G/CRB1/CLCA4/FXYD1/GJB6/SLC4A10/KCNK2/HPN/FRMD1/KCNE1/S100G/CD300LG/AMN/ATP2B2/ADCY8/SLC26A9/SLC22A11/CA4/PAPPA2/P2RY4/SLC1A1/SLC6A14/SLC13A2/RHCG/CYP4F2/UMOD/UPK1B/ATP12A/MUC13",45
"GO:1902711","CC","GO:1902711","GABA-A receptor complex","7/1279","19/19518",0.000127713675492717,0.00136131167741101,0.00106020682765485,"GABRP/GABRA5/GABRR1/GABRB1/GABRG1/GABRA4/GABRA1",7
"GO:0030673","CC","GO:0030673","axolemma","6/1279","14/19518",0.000148710241348202,0.00154989118205126,0.00120707494146962,"KCNC2/MAPT/SLC1A2/KCNC1/KCNH1/ROBO2",6
"GO:0005882","CC","GO:0005882","intermediate filament","29/1279","214/19518",0.000158750128858001,0.00161856109640006,0.00126055594310587,"GFAP/KRT14/KRT31/KRT6B/KRT16/NEFH/SYNM/NEFL/KRT5/NES/KRT17/KRT79/KRT13/KRT1/CLDN11/KRT6C/KRT77/KRT15/NEFM/KRT37/KRT33A/PRPH/UPP2/KRT23/KRTAP3-3/KRT6A/KRT38/KRT34/KRT9",29
"GO:0030133","CC","GO:0030133","transport vesicle","48/1279","425/19518",0.00016287679261742,0.00162530246250149,0.00126580620466394,"ATP6V1B1/PCSK1/GRIA1/PRRT2/BDNF/PRRT1/SYTL4/SNAP25/SYN1/SYT1/DOC2A/TRIM9/CHGA/SYN2/NTF4/SV2A/NTS/SLC30A8/STEAP2/SYP/AREG/NPTX1/SYT9/MYRIP/NTF3/BSN/SV2B/FGFR3/SNAP91/CTTNBP2/SYT8/GRIN2A/SLC18A1/PTPRN2/NRSN1/RAB3C/DRD2/CA4/SCG3/SLC17A8/SYT4/UNC13A/KIRREL3/SPRR2A/OPRK1/MT3/SYT10/SFTA2",48
"GO:0043197","CC","GO:0043197","dendritic spine","25/1279","175/19518",0.000192254292528833,0.00187848464991714,0.00146298770849792,"GRIA2/NTRK2/MAPT/GRIA1/MPP2/PRRT2/ARC/HPCA/FBXO2/ATP1A2/GPM6A/NGFR/PSD/CTTNBP2/ATP2B2/CRYAB/GRIN2A/GRM3/SEZ6/DRD2/NLGN1/SLC1A1/CALB1/MT3/KCNA4",25
"GO:0060076","CC","GO:0060076","excitatory synapse","13/1279","64/19518",0.000219829967672903,0.00210408683344064,0.00163868955494087,"GRIA2/GRIA1/FGFR2/SYT1/KCNJ3/GPM6A/SYP/C1QL1/BSN/ATP2B2/ADCY8/NLGN1/SLC17A8",13
"GO:0031045","CC","GO:0031045","dense core granule","10/1279","41/19518",0.000243037524396299,0.00221614277033307,0.00172596014208411,"PLAT/SYT1/CHGA/SYT9/MYRIP/SYT8/ADRB1/NPY/SYT4/CALCA",10
"GO:0032590","CC","GO:0032590","dendrite membrane","10/1279","41/19518",0.000243037524396299,0.00221614277033307,0.00172596014208411,"KCNC2/GRIA1/MPP2/HPCA/KCNC1/GABRA5/ATP2B2/GABRG1/GABRA4/GABRA1",10
"GO:0044309","CC","GO:0044309","neuron spine","25/1279","178/19518",0.000251395094986376,0.00221614277033307,0.00172596014208411,"GRIA2/NTRK2/MAPT/GRIA1/MPP2/PRRT2/ARC/HPCA/FBXO2/ATP1A2/GPM6A/NGFR/PSD/CTTNBP2/ATP2B2/CRYAB/GRIN2A/GRM3/SEZ6/DRD2/NLGN1/SLC1A1/CALB1/MT3/KCNA4",25
"GO:0048786","CC","GO:0048786","presynaptic active zone","15/1279","82/19518",0.00025305098816887,0.00221614277033307,0.00172596014208411,"RIMS4/SYN1/GAD1/SV2A/GPM6A/SYP/BSN/ATP2B2/HCN1/ADCY8/GRM7/P2RY4/GABRB1/NTNG1/UNC13A",15
"GO:0045178","CC","GO:0045178","basal part of cell","35/1279","285/19518",0.000255163559910418,0.00221614277033307,0.00172596014208411,"KCNC2/ATP6V1B1/KRT14/CA11/KCNJ16/SLC14A1/MLC1/CHRM3/SLC26A5/CA12/MPZ/GPIHBP1/SLCO1A2/CLDN19/SLC4A10/FRMPD2/CLDN11/ABCA8/AQP4/S100G/CD300LG/ATP2B2/ERBB4/ADCY8/AQP7/ANK1/SLC16A12/KCNQ4/SLC22A11/P2RY4/CALHM1/RHCG/UMOD/ATP12A/AQP7P3",35
"GO:0043083","CC","GO:0043083","synaptic cleft","7/1279","21/19518",0.000262444773453725,0.00223793815908722,0.00174293466772139,"CDHR3/PRSS12/NPTX1/C1QL1/NLGN1/LGI1/SLC1A1",7
"GO:0009925","CC","GO:0009925","basal plasma membrane","33/1279","266/19518",0.000313837263851991,0.00262838708476042,0.00204702125106468,"KCNC2/ATP6V1B1/CA11/KCNJ16/SLC14A1/MLC1/CHRM3/SLC26A5/CA12/MPZ/GPIHBP1/SLCO1A2/CLDN19/SLC4A10/FRMPD2/ABCA8/AQP4/S100G/CD300LG/ATP2B2/ERBB4/ADCY8/AQP7/ANK1/SLC16A12/KCNQ4/SLC22A11/P2RY4/CALHM1/RHCG/UMOD/ATP12A/AQP7P3",33
"GO:0016323","CC","GO:0016323","basolateral plasma membrane","30/1279","234/19518",0.000329196584000417,0.0027086525946701,0.00210953304982724,"KCNC2/ATP6V1B1/CA11/KCNJ16/SLC14A1/MLC1/CHRM3/SLC26A5/CA12/MPZ/GPIHBP1/CLDN19/SLC4A10/FRMPD2/ABCA8/AQP4/S100G/CD300LG/ATP2B2/ERBB4/ADCY8/AQP7/ANK1/SLC16A12/P2RY4/CALHM1/RHCG/UMOD/ATP12A/AQP7P3",30
"GO:0005581","CC","GO:0005581","collagen trimer","15/1279","85/19518",0.00037970964733934,0.00307041076900259,0.00239127491155628,"COL2A1/COL27A1/COL17A1/COL9A3/C1QTNF7/ADIPOQ/COL14A1/COL9A1/C1QL1/COL22A1/GLDN/COL28A1/COL4A6/C1QL4/SFTPA1",15
"GO:0045111","CC","GO:0045111","intermediate filament cytoskeleton","31/1279","253/19518",0.000581219489864377,0.00462020238553208,0.00359827231013272,"GFAP/KRT14/KRT31/KRT6B/KRT16/NEFH/SYNM/NEFL/KRT5/NES/KRT17/NR1I2/KRT79/KRT13/KRT1/CLDN11/DES/KRT6C/KRT77/KRT15/NEFM/KRT37/KRT33A/PRPH/UPP2/KRT23/KRTAP3-3/KRT6A/KRT38/KRT34/KRT9",31
"GO:0043292","CC","GO:0043292","contractile fiber","30/1279","243/19518",0.000623801168921104,0.00487604580373329,0.00379752641430918,"NOS1AP/MYOZ3/CMYA5/PRICKLE4/SYNPO2L/MYOZ1/TIMP4/SYNM/TNNC1/PGM5/RYR3/MYO18B/DES/MYH11/SCN5A/KCNE1/CASQ2/TNNI2/TNNT3/MYOT/ADRA1A/CRYAB/ANK1/MYBPC1/IGFN1/KY/SMPX/MYH7/ACTC1/XIRP2",30
"GO:0032982","CC","GO:0032982","myosin filament","7/1279","24/19518",0.000656722542880787,0.00504922741985392,0.00393240245693931,"ACTG2/MYO18B/MYH11/MYBPH/MYBPC1/MYH7/MYBPC2",7
"GO:0030016","CC","GO:0030016","myofibril","29/1279","233/19518",0.000668107077729062,0.0050539067654021,0.00393604679069583,"NOS1AP/MYOZ3/CMYA5/PRICKLE4/SYNPO2L/MYOZ1/TIMP4/SYNM/TNNC1/PGM5/RYR3/MYO18B/DES/SCN5A/KCNE1/CASQ2/TNNI2/TNNT3/MYOT/ADRA1A/CRYAB/ANK1/MYBPC1/IGFN1/KY/SMPX/MYH7/ACTC1/XIRP2",29
"GO:0030018","CC","GO:0030018","Z disc","19/1279","129/19518",0.00073953648871346,0.00550543830486687,0.00428770528961688,"NOS1AP/MYOZ3/PRICKLE4/SYNPO2L/MYOZ1/PGM5/RYR3/MYO18B/DES/SCN5A/KCNE1/CASQ2/MYOT/ADRA1A/CRYAB/IGFN1/KY/MYH7/XIRP2",19
"GO:0030017","CC","GO:0030017","sarcomere","27/1279","213/19518",0.000760766905757388,0.00557499498125336,0.00434187691279299,"NOS1AP/MYOZ3/CMYA5/PRICKLE4/SYNPO2L/MYOZ1/TIMP4/TNNC1/PGM5/RYR3/MYO18B/DES/SCN5A/KCNE1/CASQ2/TNNI2/TNNT3/MYOT/ADRA1A/CRYAB/ANK1/IGFN1/KY/SMPX/MYH7/ACTC1/XIRP2",27
"GO:0031674","CC","GO:0031674","I band","20/1279","141/19518",0.000883816896189809,0.00637707883558493,0.00496655000773868,"NOS1AP/MYOZ3/PRICKLE4/SYNPO2L/MYOZ1/PGM5/RYR3/MYO18B/DES/SCN5A/KCNE1/CASQ2/MYOT/ADRA1A/CRYAB/IGFN1/KY/MYH7/ACTC1/XIRP2",20
"GO:0032433","CC","GO:0032433","filopodium tip","6/1279","19/19518",0.0010113939224293,0.00718702650938397,0.00559734754518289,"TTYH1/EPHB1/MYO3B/MYO3A/VIL1/NLGN1",6
"GO:0008328","CC","GO:0008328","ionotropic glutamate receptor complex","9/1279","41/19518",0.00112348589791814,0.00774874832534717,0.00603482363123211,"GRIA2/GRIA1/GRIK1/GRIK3/GRIN2C/GRIK4/GRIN2A/OLFM3/VWC2",9
"GO:0098686","CC","GO:0098686","hippocampal mossy fiber to CA3 synapse","9/1279","41/19518",0.00112348589791814,0.00774874832534717,0.00603482363123211,"ADCY1/SYT1/EFNB3/SYT9/GRIK4/ADCY8/EPHA7/CALCA/CALB1",9
"GO:0045121","CC","GO:0045121","membrane raft","36/1279","323/19518",0.00128728997423944,0.00874984054954054,0.00681448697270916,"PDZK1/IGF1R/ADCY1/MAG/MAPT/IRS1/NOS1AP/SCARB1/IL6ST/GJA1/RGS7/LYPD6/EPHB1/MLC1/PTGS2/ARC/PRTN3/ABCG2/SLC1A2/ATP1A2/ADD2/FXYD1/HTR2A/SCN5A/KCNE1/SLC6A4/CD1A/CHRNB2/TRPM8/ATP2B2/CNR1/ADRA1A/ADCY8/SLC6A2/SLC1A1/ATP1A4",36
"GO:0098857","CC","GO:0098857","membrane microdomain","36/1279","324/19518",0.00135938402966298,0.00910787299874198,0.00709332719237677,"PDZK1/IGF1R/ADCY1/MAG/MAPT/IRS1/NOS1AP/SCARB1/IL6ST/GJA1/RGS7/LYPD6/EPHB1/MLC1/PTGS2/ARC/PRTN3/ABCG2/SLC1A2/ATP1A2/ADD2/FXYD1/HTR2A/SCN5A/KCNE1/SLC6A4/CD1A/CHRNB2/TRPM8/ATP2B2/CNR1/ADRA1A/ADCY8/SLC6A2/SLC1A1/ATP1A4",36
"GO:0030658","CC","GO:0030658","transport vesicle membrane","28/1279","234/19518",0.00150112804028044,0.00991590212523276,0.00772263054080522,"ATP6V1B1/GRIA1/PRRT2/PRRT1/SYTL4/SYN1/SYT1/DOC2A/SYN2/SV2A/SLC30A8/SYP/AREG/SYT9/BSN/SV2B/SYT8/SLC18A1/PTPRN2/RAB3C/DRD2/CA4/SCG3/SLC17A8/SYT4/UNC13A/OPRK1/SYT10",28
"GO:0043194","CC","GO:0043194","axon initial segment","6/1279","21/19518",0.00180656687954246,0.0117677759236863,0.00916489338013497,"SPTBN4/KCNQ3/MAP2/CNTN2/LGI1/KCNA4",6
"GO:0097440","CC","GO:0097440","apical dendrite","5/1279","15/19518",0.00206751496128657,0.0132830755731973,0.0103450279966322,"MAP2/SLC4A10/SEZ6/SLC17A8/SLC1A1",5
"GO:0001669","CC","GO:0001669","acrosomal vesicle","19/1279","141/19518",0.00215919260316487,0.0136846125795179,0.01065775011804,"SERPINA5/SPAG6/RND2/TEKT3/ABHD2/SPAG8/ARC/ENKUR/CAPN11/MFGE8/IQUB/TSSK1B/SV2B/SYT8/PLA2G10/DRD2/SPAG17/TMPRSS12/TMEM190",19
"GO:0098878","CC","GO:0098878","neurotransmitter receptor complex","9/1279","46/19518",0.00263159202428962,0.0164562221252244,0.0128163148411017,"GRIA2/GRIA1/GRIK1/GRIK3/GRIN2C/GRIK4/GRIN2A/OLFM3/VWC2",9
"GO:0099571","CC","GO:0099571","postsynaptic cytoskeleton","4/1279","10/19518",0.00279888606728361,0.0172720732310002,0.0134517100463631,"NEFH/NEFL/NEFM/CTTNBP2",4
"GO:0033268","CC","GO:0033268","node of Ranvier","5/1279","16/19518",0.00284643521117043,0.0173373781044017,0.0135025703113621,"SPTBN4/KCNQ3/MYOC/HAPLN2/CNTN2",5
"GO:0016342","CC","GO:0016342","catenin complex","7/1279","31/19518",0.00333612626220177,0.020059528422726,0.0156226155598382,"CDHR3/CDH19/CDH22/CDH7/CDH20/CDH18/CDH4",7
"GO:0031256","CC","GO:0031256","leading edge membrane","22/1279","180/19518",0.00352606702357573,0.0209332333424939,0.0163030680503768,"SLC39A6/KCNC2/MAPT/GRIA1/MPP2/FAM107A/PSD2/FERMT1/HPCA/SLC1A2/PSD3/KCNC1/BMX/PSD/GABRA5/ATP2B2/KCNH1/TESC/ROBO2/GABRG1/GABRA4/GABRA1",22
"GO:0005796","CC","GO:0005796","Golgi lumen","15/1279","106/19518",0.00378976811462216,0.022101769141897,0.01721313857533,"PCSK6/WNT3/CGA/BCAN/WNT4/NCAN/MUC7/PRELP/KERA/LALBA/MUC2/VTN/MUC16/UMOD/MUC13",15
"GO:0042599","CC","GO:0042599","lamellar body","5/1279","17/19518",0.00381714989444277,0.022101769141897,0.01721313857533,"KLK5/KLK7/SFTPB/SFTPA1/KRTDAP",5
"GO:1904090","CC","GO:1904090","peptidase inhibitor complex","4/1279","11/19518",0.00417155832060371,0.0238592786873554,0.0185819093356802,"SERPINA5/PLAT/KLK8/VTN",4
"GO:0014704","CC","GO:0014704","intercalated disc","9/1279","50/19518",0.00473258213727783,0.0267419400287145,0.0208269626079316,"SPTBN4/GJA1/SCN4B/PGM5/ATP1A2/FXYD1/DES/SCN5A/CTNNA3",9
"GO:0044305","CC","GO:0044305","calyx of Held","5/1279","19/19518",0.00642941013032327,0.0358975398943049,0.0279574600905034,"CPLX1/KCNC1/KCNK2/CPLX2/CALB1",5
"GO:0031514","CC","GO:0031514","motile cilium","27/1279","248/19518",0.00664667810526609,0.0366740238984682,0.0285621956969329,"ROPN1/ROPN1B/SPAG6/TTLL9/TEKT3/ABHD2/SPEF2/CCDC103/NME5/FBXL13/ENKUR/DNALI1/WBP2NL/DNAH9/PACRG/IQCA1/IQUB/CCDC65/TSSK1B/TEKT2/TACR1/DRD2/PTCHD3/SPAG17/ATP1A4/TEKT1/CST11",27
"GO:0044853","CC","GO:0044853","plasma membrane raft","15/1279","114/19518",0.00749315639969082,0.0408638412959883,0.0318252787110492,"IGF1R/IRS1/NOS1AP/SCARB1/MLC1/PTGS2/PRTN3/ATP1A2/ADD2/FXYD1/HTR2A/SCN5A/CHRNB2/ADRA1A/ADCY8",15
"GO:0005901","CC","GO:0005901","caveola","12/1279","83/19518",0.00766247600543456,0.0409425581432928,0.0318865843917015,"IGF1R/IRS1/NOS1AP/SCARB1/MLC1/PTGS2/ATP1A2/FXYD1/HTR2A/SCN5A/ADRA1A/ADCY8",12
"GO:0031594","CC","GO:0031594","neuromuscular junction","11/1279","73/19518",0.007682185749701,0.0409425581432928,0.0318865843917015,"NEFL/SV2A/DES/SYP/NGFR/ERBB4/NLGN1/EPHA7/UNC13A/RAPSN/SLC5A7",11
"GO:0005788","CC","GO:0005788","endoplasmic reticulum lumen","32/1279","312/19518",0.00805007517091419,0.042289125077394,0.0329353078259583,"STC2/COL2A1/WNT3/IGFBP4/COL27A1/BDNF/WNT4/MSLN/CHGB/BCHE/PTGS2/COL17A1/COL9A3/CASQ1/APOA1/SERPINA10/COL14A1/COL9A1/MFGE8/CASQ2/COL22A1/RDH5/SLC27A2/SERPINA1/VTN/IGFBP1/COL28A1/ALB/COL4A6/ITIH2/SCG3/PDIA2",32
"GO:0031253","CC","GO:0031253","cell projection membrane","35/1279","349/19518",0.00811518391677071,0.042289125077394,0.0329353078259583,"PDZK1/SLC39A6/KCNC2/MAPT/LRP2/GRIA1/MPP2/TTYH1/PDE6B/GPR37L1/TRPM6/FAM107A/PSD2/FERMT1/HPCA/ABCG2/SLC1A2/PSD3/KCNC1/AQP4/BMX/PSD/FZD9/AMN/GABRA5/ATP2B2/KCNH1/TESC/DRD2/ROBO2/CA4/GABRG1/UMOD/GABRA4/GABRA1",35
"GO:0005604","CC","GO:0005604","basement membrane","12/1279","84/19518",0.00842134185811362,0.0431600037283643,0.0336135591824541,"COL2A1/LAMA3/COL17A1/SMOC2/THBS4/FREM1/VTN/COL28A1/COL4A6/FREM2/SMOC1/VWC2",12
"GO:0098992","CC","GO:0098992","neuronal dense core vesicle","6/1279","28/19518",0.00846635467592648,0.0431600037283643,0.0336135591824541,"PLAT/CHGA/ADRB1/NPY/SYT4/CALCA",6
"GO:0005891","CC","GO:0005891","voltage-gated calcium channel complex","9/1279","55/19518",0.00896764690164901,0.0452239397513267,0.0352209787761427,"CACNB2/CACNA1F/CACHD1/CACNA2D3/SCN5A/CACNA1G/CACNA2D2/SCN7A/CACNG6",9
"GO:0015267","MF","GO:0015267","channel activity","83/1247","478/18369",1.49944448561383e-15,7.71658220682577e-13,6.43383612867182e-13,"GRIA2/BCL2/KCNC2/CLIC6/KCNE4/GRIA1/GLRA3/KCNF1/TTYH1/KCNK15/GJA1/KCNJ16/GLRB/CACNB2/TRPM6/SLC14A1/SCN4B/KCNJ3/ANO9/KCNH8/KCNK5/CACNA1F/CHRNA9/CACHD1/GRIK1/GRIK3/TMC3/KCNQ3/CACNA2D3/SCNN1G/TRPA1/UNC80/RYR3/CLCA4/SCN2B/KCNIP2/FXYD1/GJB6/OCA2/GPM6A/SCNN1D/KCNQ5/KCNC1/SCN5A/KCNK2/CACNA1G/AQP4/KCND3/KCNE1/KCNK3/KCNIP1/CHRNB2/KCNB2/CACNA2D2/GRIN2C/TRPM8/GRIK4/ANO4/GABRA5/SCN7A/ANO2/KCNH1/GJB3/HCN1/GRIN2A/AQP7/TMEM150C/GABRR1/KCNH3/SLC26A9/KCNQ4/SLC17A8/SLC1A1/GABRB1/CALHM1/CACNG6/TRPM3/RHCG/GABRG1/AQP7P3/KCNA4/GABRA4/GABRA1",83
"GO:0022803","MF","GO:0022803","passive transmembrane transporter activity","83/1247","479/18369",1.6978178672884e-15,7.71658220682577e-13,6.43383612867182e-13,"GRIA2/BCL2/KCNC2/CLIC6/KCNE4/GRIA1/GLRA3/KCNF1/TTYH1/KCNK15/GJA1/KCNJ16/GLRB/CACNB2/TRPM6/SLC14A1/SCN4B/KCNJ3/ANO9/KCNH8/KCNK5/CACNA1F/CHRNA9/CACHD1/GRIK1/GRIK3/TMC3/KCNQ3/CACNA2D3/SCNN1G/TRPA1/UNC80/RYR3/CLCA4/SCN2B/KCNIP2/FXYD1/GJB6/OCA2/GPM6A/SCNN1D/KCNQ5/KCNC1/SCN5A/KCNK2/CACNA1G/AQP4/KCND3/KCNE1/KCNK3/KCNIP1/CHRNB2/KCNB2/CACNA2D2/GRIN2C/TRPM8/GRIK4/ANO4/GABRA5/SCN7A/ANO2/KCNH1/GJB3/HCN1/GRIN2A/AQP7/TMEM150C/GABRR1/KCNH3/SLC26A9/KCNQ4/SLC17A8/SLC1A1/GABRB1/CALHM1/CACNG6/TRPM3/RHCG/GABRG1/AQP7P3/KCNA4/GABRA4/GABRA1",83
